date,time,lat,loc
2017/11/2,17:35:6,3738.27,12712.76,
2017/11/2,17:35:9,3738.27,12712.77,
2017/11/2,17:35:11,3738.27,12712.76,
2017/11/2,17:35:13,3738.28,12712.76,
2017/11/2,17:35:15,3738.28,12712.76,
2017/11/2,17:35:17,3738.27,12712.78,
2017/11/2,17:35:19,3738.28,12712.77,
2017/11/2,17:35:21,3738.28,12712.77,
2017/11/2,17:35:23,3738.28,12712.77,
2017/11/2,17:35:25,3738.28,12712.77,
2017/11/2,17:35:27,3738.28,12712.77,
2017/11/2,17:35:29,3738.27,12712.77,
2017/11/2,17:48:17,3738.33,12712.60,
2017/11/2,17:48:20,3738.33,12712.60,
2017/11/2,17:48:22,3738.34,12712.60,
2017/11/2,17:48:24,3738.35,12712.62,
2017/11/2,17:48:26,3738.28,12712.75,
2017/11/2,17:48:28,3738.27,12712.76,
2017/11/2,17:48:30,3738.29,12712.77,
2017/11/2,17:48:32,3738.30,12712.77,
2017/11/2,17:48:34,3738.29,12712.77,
2017/11/2,17:48:36,3738.29,12712.77,
2017/11/2,17:48:38,3738.29,12712.77,
2017/11/2,17:48:40,3738.29,12712.77,
2017/11/2,17:48:42,3738.29,12712.77,
2017/11/2,17:48:44,3738.29,12712.77,
2017/11/2,17:48:46,3738.29,12712.76,
2017/11/2,17:48:48,3738.29,12712.76,
2017/11/2,17:48:50,3738.28,12712.76,
2017/11/2,17:48:52,3738.28,12712.76,
2017/11/2,17:48:54,3738.28,12712.77,
2017/11/2,17:48:56,3738.28,12712.77,
2017/11/2,17:48:58,3738.28,12712.77,
2017/11/2,17:49:0,3738.28,12712.77,
2017/11/2,17:49:2,3738.28,12712.77,
2017/11/2,17:49:4,3738.28,12712.77,
2017/11/2,17:49:6,3738.28,12712.77,
2017/11/2,17:49:8,3738.28,12712.77,
2017/11/2,17:49:10,3738.28,12712.77,
2017/11/2,17:49:12,3738.28,12712.77,
2017/11/2,17:49:14,3738.28,12712.77,
2017/11/2,17:49:16,3738.28,12712.77,
2017/11/2,17:49:18,3738.28,12712.77,
2017/11/2,17:49:20,3738.28,12712.77,
2017/11/2,17:49:22,3738.28,12712.77,
2017/11/2,17:49:24,3738.28,12712.77,
2017/11/2,17:49:26,3738.28,12712.77,
2017/11/2,17:49:28,3738.28,12712.77,
2017/11/2,17:49:30,3738.28,12712.77,
2017/11/2,17:49:32,3738.28,12712.77,
2017/11/2,17:49:34,3738.28,12712.77,
2017/11/2,17:49:36,3738.28,12712.77,
2017/11/2,17:49:38,3738.28,12712.77,
2017/11/2,17:49:40,3738.28,12712.77,
2017/11/2,17:49:42,3738.28,12712.76,
2017/11/2,17:49:44,3738.28,12712.76,
2017/11/2,17:49:46,3738.28,12712.76,
2017/11/2,17:49:48,3738.28,12712.76,
2017/11/2,17:49:50,3738.28,12712.76,
2017/11/2,17:49:52,3738.28,12712.76,
2017/11/2,17:49:54,3738.28,12712.76,
2017/11/2,17:49:56,3738.28,12712.76,
2017/11/2,17:49:58,3738.28,12712.76,
2017/11/2,17:50:0,3738.28,12712.76,
2017/11/2,17:50:2,3738.28,12712.76,
2017/11/2,17:50:4,3738.27,12712.76,
2017/11/2,17:50:6,3738.27,12712.76,
2017/11/2,17:50:8,3738.27,12712.76,
2017/11/2,17:50:10,3738.27,12712.76,
2017/11/2,17:50:12,3738.27,12712.76,
2017/11/2,17:50:14,3738.27,12712.76,
2017/11/2,17:50:16,3738.27,12712.76,
2017/11/2,17:50:18,3738.27,12712.76,
2017/11/2,17:50:20,3738.27,12712.76,
2017/11/2,17:50:22,3738.27,12712.76,
2017/11/2,17:50:24,3738.27,12712.76,
2017/11/2,17:50:26,3738.27,12712.76,
2017/11/2,17:50:28,3738.27,12712.76,
2017/11/2,17:50:30,3738.27,12712.76,
2017/11/2,17:50:32,3738.27,12712.76,
2017/11/2,17:50:34,3738.27,12712.76,
2017/11/2,17:50:36,3738.27,12712.76,
2017/11/2,17:50:38,3738.27,12712.76,
2017/11/2,17:50:40,3738.27,12712.76,
2017/11/2,17:50:42,3738.27,12712.76,
2017/11/2,17:50:44,3738.27,12712.76,
2017/11/2,17:50:46,3738.27,12712.76,
2017/11/2,17:50:48,3738.27,12712.76,
2017/11/2,17:50:50,3738.27,12712.76,
2017/11/2,17:50:52,3738.27,12712.76,
2017/11/2,17:50:54,3738.27,12712.76,
2017/11/2,17:50:56,3738.27,12712.76,
2017/11/2,17:50:58,3738.27,12712.76,
2017/11/2,17:51:0,3738.27,12712.76,
2017/11/2,17:51:2,3738.27,12712.76,
2017/11/2,17:51:4,3738.27,12712.76,
2017/11/2,17:51:6,3738.27,12712.76,
2017/11/2,17:51:8,3738.27,12712.76,
2017/11/2,17:51:10,3738.27,12712.76,
2017/11/2,17:51:12,3738.27,12712.76,
2017/11/2,17:51:14,3738.27,12712.76,
2017/11/2,17:51:16,3738.27,12712.76,
2017/11/2,17:51:18,3738.27,12712.76,
2017/11/2,17:51:20,3738.27,12712.76,
2017/11/2,17:51:22,3738.27,12712.76,
2017/11/2,17:51:24,3738.27,12712.76,
2017/11/2,17:51:26,3738.27,12712.76,
2017/11/2,17:51:28,3738.27,12712.76,
2017/11/2,17:51:30,3738.27,12712.76,
2017/11/2,17:51:32,3738.27,12712.76,
2017/11/2,17:51:34,3738.27,12712.76,
2017/11/2,17:51:36,3738.27,12712.76,
2017/11/2,17:51:38,3738.27,12712.76,
2017/11/2,17:51:40,3738.27,12712.76,
