date,time,lat,loc
2017/11/2,17:35:6,37 38.27,127 12.76
2017/11/2,17:35:9,37 38.27,127 12.77
2017/11/2,17:35:11,37 38.27,127 12.76
2017/11/2,17:35:13,37 38.28,127 12.76
2017/11/2,17:35:15,37 38.28,127 12.76
2017/11/2,17:35:17,37 38.27,127 12.78
2017/11/2,17:35:19,37 38.28,127 12.77
2017/11/2,17:35:21,37 38.28,127 12.77
2017/11/2,17:35:23,37 38.28,127 12.77
2017/11/2,17:35:25,37 38.28,127 12.77
2017/11/2,17:35:27,37 38.28,127 12.77
2017/11/2,17:35:29,37 38.27,127 12.77
2017/11/2,17:48:17,37 38.33,127 12.60
2017/11/2,17:48:20,37 38.33,127 12.60
2017/11/2,17:48:22,37 38.34,127 12.60
2017/11/2,17:48:24,37 38.35,127 12.62
2017/11/2,17:48:26,37 38.28,127 12.75
2017/11/2,17:48:28,37 38.27,127 12.76
2017/11/2,17:48:30,37 38.29,127 12.77
2017/11/2,17:48:32,37 38.30,127 12.77
2017/11/2,17:48:34,37 38.29,127 12.77
2017/11/2,17:48:36,37 38.29,127 12.77
2017/11/2,17:48:38,37 38.29,127 12.77
2017/11/2,17:48:40,37 38.29,127 12.77
2017/11/2,17:48:42,37 38.29,127 12.77
2017/11/2,17:48:44,37 38.29,127 12.77
2017/11/2,17:48:46,37 38.29,127 12.76
2017/11/2,17:48:48,37 38.29,127 12.76
2017/11/2,17:48:50,37 38.28,127 12.76
2017/11/2,17:48:52,37 38.28,127 12.76
2017/11/2,17:48:54,37 38.28,127 12.77
2017/11/2,17:48:56,37 38.28,127 12.77
2017/11/2,17:48:58,37 38.28,127 12.77
2017/11/2,17:49:0,37 38.28,127 12.77
2017/11/2,17:49:2,37 38.28,127 12.77
2017/11/2,17:49:4,37 38.28,127 12.77
2017/11/2,17:49:6,37 38.28,127 12.77
2017/11/2,17:49:8,37 38.28,127 12.77
2017/11/2,17:49:10,37 38.28,127 12.77
2017/11/2,17:49:12,37 38.28,127 12.77
2017/11/2,17:49:14,37 38.28,127 12.77
2017/11/2,17:49:16,37 38.28,127 12.77
2017/11/2,17:49:18,37 38.28,127 12.77
2017/11/2,17:49:20,37 38.28,127 12.77
2017/11/2,17:49:22,37 38.28,127 12.77
2017/11/2,17:49:24,37 38.28,127 12.77
2017/11/2,17:49:26,37 38.28,127 12.77
2017/11/2,17:49:28,37 38.28,127 12.77
2017/11/2,17:49:30,37 38.28,127 12.77
2017/11/2,17:49:32,37 38.28,127 12.77
2017/11/2,17:49:34,37 38.28,127 12.77
2017/11/2,17:49:36,37 38.28,127 12.77
2017/11/2,17:49:38,37 38.28,127 12.77
2017/11/2,17:49:40,37 38.28,127 12.77
2017/11/2,17:49:42,37 38.28,127 12.76
2017/11/2,17:49:44,37 38.28,127 12.76
2017/11/2,17:49:46,37 38.28,127 12.76
2017/11/2,17:49:48,37 38.28,127 12.76
2017/11/2,17:49:50,37 38.28,127 12.76
2017/11/2,17:49:52,37 38.28,127 12.76
2017/11/2,17:49:54,37 38.28,127 12.76
2017/11/2,17:49:56,37 38.28,127 12.76
2017/11/2,17:49:58,37 38.28,127 12.76
2017/11/2,17:50:0,37 38.28,127 12.76
2017/11/2,17:50:2,37 38.28,127 12.76
2017/11/2,17:50:4,37 38.27,127 12.76
2017/11/2,17:50:6,37 38.27,127 12.76
2017/11/2,17:50:8,37 38.27,127 12.76
2017/11/2,17:50:10,37 38.27,127 12.76
2017/11/2,17:50:12,37 38.27,127 12.76
2017/11/2,17:50:14,37 38.27,127 12.76
2017/11/2,17:50:16,37 38.27,127 12.76
2017/11/2,17:50:18,37 38.27,127 12.76
2017/11/2,17:50:20,37 38.27,127 12.76
2017/11/2,17:50:22,37 38.27,127 12.76
2017/11/2,17:50:24,37 38.27,127 12.76
2017/11/2,17:50:26,37 38.27,127 12.76
2017/11/2,17:50:28,37 38.27,127 12.76
2017/11/2,17:50:30,37 38.27,127 12.76
2017/11/2,17:50:32,37 38.27,127 12.76
2017/11/2,17:50:34,37 38.27,127 12.76
2017/11/2,17:50:36,37 38.27,127 12.76
2017/11/2,17:50:38,37 38.27,127 12.76
2017/11/2,17:50:40,37 38.27,127 12.76
2017/11/2,17:50:42,37 38.27,127 12.76
2017/11/2,17:50:44,37 38.27,127 12.76
2017/11/2,17:50:46,37 38.27,127 12.76
2017/11/2,17:50:48,37 38.27,127 12.76
2017/11/2,17:50:50,37 38.27,127 12.76
2017/11/2,17:50:52,37 38.27,127 12.76
2017/11/2,17:50:54,37 38.27,127 12.76
2017/11/2,17:50:56,37 38.27,127 12.76
2017/11/2,17:50:58,37 38.27,127 12.76
2017/11/2,17:51:0,37 38.27,127 12.76
2017/11/2,17:51:2,37 38.27,127 12.76
2017/11/2,17:51:4,37 38.27,127 12.76
2017/11/2,17:51:6,37 38.27,127 12.76
2017/11/2,17:51:8,37 38.27,127 12.76
2017/11/2,17:51:10,37 38.27,127 12.76
2017/11/2,17:51:12,37 38.27,127 12.76
2017/11/2,17:51:14,37 38.27,127 12.76
2017/11/2,17:51:16,37 38.27,127 12.76
2017/11/2,17:51:18,37 38.27,127 12.76
2017/11/2,17:51:20,37 38.27,127 12.76
2017/11/2,17:51:22,37 38.27,127 12.76
2017/11/2,17:51:24,37 38.27,127 12.76
2017/11/2,17:51:26,37 38.27,127 12.76
2017/11/2,17:51:28,37 38.27,127 12.76
2017/11/2,17:51:30,37 38.27,127 12.76
